"('imballagg', 0.043499764)","('vend', 0.027930116)","('prodott', 0.019728502)","('parallel', 0.017659318)","('confezion', 0.014656887)","('riconfezion', 0.014542426)","('distributor', 0.014150548)","('sigarett', 0.011794638)","('medicinal', 0.01157758)","('grossist', 0.011322218)","('produttor', 0.010709602)","('commerc', 0.010613154)","('bayer', 0.009506065)","('bevand', 0.009273839)","('nuov', 0.00863588)","('commercializz', 0.008306326)","('raccomand', 0.007231746)","('progett', 0.005975197)","('tabacc', 0.0056516286)","('ostacol', 0.0051260176)","('farmaceut', 0.0049142186)","('tedesc', 0.0045036976)","('distribu', 0.00449693)","('requis', 0.004314704)","('version', 0.0042283074)"
"('cement', 0.023931341)","('entit', 0.018318752)","('ricorrent', 0.017699884)","('elenc', 0.015374671)","('posizion', 0.013299124)","('alleg', 0.012169584)","('antidumping', 0.010334574)","('union', 0.008588494)","('risolu', 0.008175085)","('paes', 0.0080155395)","('capital', 0.0077665793)","('partecip', 0.006996501)","('grupp', 0.006910832)","('tribunal', 0.0068880413)","('congel', 0.0061885677)","('prezz', 0.0059444387)","('unit', 0.005818099)","('iran', 0.005756434)","('client', 0.005612259)","('definit', 0.0053525697)","('restritt', 0.005295637)","('inchiest', 0.005117936)","('sicurezz', 0.0050994568)","('repubbl', 0.0049068397)","('rumor', 0.0047808313)"
"('pesc', 0.07412705)","('variet', 0.01785903)","('cattur', 0.012871829)","('agricoltor', 0.012724408)","('vegetal', 0.010545531)","('contingent', 0.010103659)","('pescherecc', 0.009758845)","('organizz', 0.0096538775)","('viagg', 0.008746197)","('risors', 0.008378297)","('frances', 0.008293019)","('spec', 0.008175252)","('stock', 0.008101999)","('conserv', 0.007983488)","('ritrov', 0.007562693)","('moltipl', 0.0070590354)","('material', 0.0069641005)","('privat', 0.006705323)","('licenz', 0.006682645)","('ret', 0.006628394)","('raccolt', 0.005794086)","('sement', 0.005605687)","('ittic', 0.005455862)","('polit', 0.005254816)","('argentin', 0.00519981)"
"('protocoll', 0.039202504)","('unit', 0.030138576)","('regn', 0.027906643)","('schengen', 0.023116207)","('intracomunitar', 0.020619966)","('cooper', 0.017419316)","('acquis', 0.014982792)","('certific', 0.01376561)","('caas', 0.0122519)","('vist', 0.011729103)","('trasport', 0.011166512)","('front', 0.010795397)","('scamb', 0.008991303)","('ritorn', 0.008535493)","('origin', 0.007977423)","('paes', 0.007936833)","('partecip', 0.007805224)","('spedizion', 0.007419241)","('irland', 0.007302247)","('esecu', 0.0071870075)","('alleg', 0.0069675706)","('territor', 0.0064269817)","('union', 0.0058441)","('adozion', 0.005565396)","('contraent', 0.005557826)"
"('gioc', 0.04914019)","('azzard', 0.020653848)","('scommess', 0.0152286)","('organizz', 0.013919117)","('concession', 0.009244998)","('monopol', 0.008127003)","('persegu', 0.0067693824)","('restrizion', 0.006717103)","('union', 0.006283452)","('lotter', 0.0062722526)","('tutel', 0.005807458)","('settor', 0.005708111)","('pubblicitar', 0.0056006345)","('regim', 0.0053008855)","('gestion', 0.0052909176)","('internet', 0.0052376846)","('giustific', 0.0049631977)","('prestazion', 0.0049250145)","('offert', 0.0048659695)","('centr', 0.0048228567)","('polit', 0.0045547555)","('consum', 0.004510931)","('partecip', 0.004502669)","('aeroport', 0.0043635587)","('liber', 0.004363359)"
"('convenzion', 0.054276794)","('contratt', 0.050201416)","('compett', 0.022077315)","('consum', 0.01967831)","('azion', 0.016190508)","('bruxelles', 0.01609401)","('contraent', 0.015114141)","('clausol', 0.0121584805)","('domicil', 0.012030203)","('esecu', 0.011947477)","('conven', 0.010937822)","('societ', 0.010603427)","('civil', 0.010185837)","('sed', 0.008314985)","('insolvt', 0.008049727)","('contrattual', 0.008030883)","('territor', 0.00739082)","('commercial', 0.0072740386)","('pag', 0.007204824)","('stipul', 0.006962017)","('giurisdizional', 0.006676303)","('debitor', 0.0060401917)","('conclus', 0.0058516157)","('trov', 0.004993917)","('regn', 0.0049480237)"
"('societ', 0.08588441)","('impost', 0.047328908)","('capital', 0.026017379)","('fiscal', 0.025922313)","('resident', 0.020569498)","('divid', 0.015939476)","('azion', 0.014678248)","('imposizion', 0.0121809635)","('sed', 0.0117036775)","('confer', 0.010687143)","('util', 0.010631497)","('partecip', 0.0093746865)","('redd', 0.009288946)","('distribu', 0.007475522)","('vers', 0.0074094753)","('tributar', 0.007341299)","('regn', 0.006710096)","('paes', 0.0062273736)","('social', 0.0062219654)","('cred', 0.0060687405)","('assoggett', 0.0058674654)","('trasfer', 0.005789589)","('libert', 0.0057742554)","('dopp', 0.0056158584)","('percep', 0.0054337974)"
"('italian', 0.034619253)","('decret', 0.031189613)","('repubbl', 0.027767228)","('ital', 0.027196145)","('portoghes', 0.022318777)","('impres', 0.014891117)","('eserciz', 0.008501086)","('liber', 0.008231384)","('restrizion', 0.0067504044)","('azion', 0.0063234456)","('libert', 0.0062880227)","('giustific', 0.00623013)","('postal', 0.0057050125)","('spagnol', 0.005527014)","('settor', 0.0055217524)","('vigil', 0.0054876697)","('portogall', 0.005318965)","('gur', 0.0050807283)","('mand', 0.004954063)","('argoment', 0.004917226)","('requis', 0.004908208)","('esecu', 0.0047576125)","('provved', 0.0046631387)","('riserv', 0.0046046516)","('special', 0.004357535)"
"('impugn', 0.019265119)","('organ', 0.018341487)","('document', 0.013269993)","('tribunal', 0.012261392)","('annull', 0.009639481)","('finanziar', 0.008973108)","('giurisdizional', 0.008422118)","('progett', 0.007583195)","('notif', 0.007268675)","('union', 0.007045304)","('violazion', 0.0069397865)","('atti', 0.0062866053)","('consult', 0.006009908)","('indagin', 0.0058526443)","('comit', 0.0057527763)","('contrib', 0.0057355845)","('relazion', 0.0056231306)","('esecu', 0.0055238497)","('legittim', 0.0052848984)","('programm', 0.005270302)","('compett', 0.0048450646)","('ricorrent', 0.004724813)","('argoment', 0.0046592313)","('prov', 0.004658567)","('tutel', 0.004509937)"
"('inademp', 0.0455438)","('regn', 0.04540391)","('repubbl', 0.023502266)","('trasposizion', 0.021163253)","('incombent', 0.019279514)","('spagn', 0.019080402)","('lussemburg', 0.017137388)","('parl', 0.017050052)","('unit', 0.015623488)","('scadenz', 0.014615003)","('regolamentar', 0.014463)","('disposit', 0.014195465)","('provved', 0.012210998)","('lussemburghes', 0.011295613)","('granduc', 0.010942141)","('adozion', 0.010485412)","('soccombent', 0.010384736)","('impart', 0.0100224195)","('modif', 0.008890145)","('irland', 0.008849993)","('attuazion', 0.0087901745)","('prescritt', 0.008685163)","('mes', 0.008639373)","('incomb', 0.008556215)","('censur', 0.008526681)"
